sourcePostId,title,proposedCollection,severity,message
939,Türkiye’de Mahpus Olmak ve Özel İhtiyaçları Olan Mahpuslar STÖ’lerin Sorumluğu ve Devletin Görevleri,yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=939, https://mustafaeren.net/wp-content/uploads/2019/01/Guncel-Hukuk.jpg)"
939,Türkiye’de Mahpus Olmak ve Özel İhtiyaçları Olan Mahpuslar STÖ’lerin Sorumluğu ve Devletin Görevleri,yazilar,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
39,Simgesel Bir Saldırı: Tek Tip Elbise,yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=39, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-02-15.57.34.png)"
90,Yeni Doğanından Okul Çağındakilere Kadar Yüzlerce Çocuk Mahpus,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=90, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-03-12.50.49.png)"
90,Yeni Doğanından Okul Çağındakilere Kadar Yüzlerce Çocuk Mahpus,basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
100,Yaşamını yitiren hasta hükümlü Özdal'a hep 'ret' yanıtı verilmiş!,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=100, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-03-13.42.40.png)"
107,"İçeride Baskı, Dışarıda ""Tek Tip""e Tepki Büyüyor",basinda,warning,"Öne çıkan görselin alt metni boş (post_id=107, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-03-14.05.54.png)"
107,"İçeride Baskı, Dışarıda ""Tek Tip""e Tepki Büyüyor",basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
110,Ölüm Oruçları: Yaşamın Kutsallığı ve Direnme Hakkı İkileminde Bir Eylem Tarzı,yazilar,warning,"Öne çıkan görselin alt metni boş (post_id=110, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-03-14.31.38.png)"
120,Devlet desteğiyle çıkan kitap cezaevinde yasak!,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=120, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-03-15.09.19.png)"
130,Die Türkei baut «Gefängnis-Städte,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=130, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-03-17.39.12.png)"
150,Devlet Desteğiyle Çıkan Mahpus Hakları Kitabı Cezaevinde Yasak!,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=150, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-03-19.06.43.png)"
150,Devlet Desteğiyle Çıkan Mahpus Hakları Kitabı Cezaevinde Yasak!,basinda,warning,"description WordPress excerpt'inden değil, gövde metninden otomatik türetildi — gözden geçirilmeli"
468,4 Milyar Gelirli Bir KİT: Cezaevi Kampüsleri,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=468, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-09-23.45.08.png)"
508,EU-sponsored ‘The Handbook on Prisoners’ Rights’ not allowed in Turkish prisons,basinda,warning,"Öne çıkan görselin alt metni boş (post_id=508, https://mustafaeren.net/wp-content/uploads/2019/01/Ekran-Resmi-2019-01-10-19.16.01.png)"
